rho,beta,mean_js_to_exact_beta4,mean_js_to_local_beta4,local_neighbor_identifiability
0.0,1.5,0.047998,0.003463,0.00029
0.0,2.0,0.047832,0.001444,0.000366
0.0,2.5,0.048186,0.000513,0.000443
0.0,3.0,0.048664,0.000142,0.000722
0.0,4.0,0.049404,0.0,0.001653
0.0,5.0,0.049766,2.3e-05,0.002816
0.0,6.0,0.049914,4.5e-05,0.006106
0.15,1.5,0.043926,0.003659,0.000239
0.15,2.0,0.040528,0.001897,0.000371
0.15,2.5,0.037023,0.001507,0.00051
0.15,3.0,0.033413,0.002054,0.000947
0.15,4.0,0.026648,0.004794,0.001949
0.15,5.0,0.02123,0.008447,0.002923
0.15,6.0,0.017075,0.012246,0.005127
0.25,1.5,0.04134,0.003962,0.000255
0.25,2.0,0.036031,0.002684,0.000392
0.25,2.5,0.030507,0.003232,0.000467
0.25,3.0,0.025152,0.005218,0.000885
0.25,4.0,0.016484,0.011736,0.001331
0.25,5.0,0.010936,0.019007,0.001304
0.25,6.0,0.007493,0.025491,0.001579
0.35,1.5,0.038846,0.0044,0.000313
0.35,2.0,0.031854,0.003835,0.000494
0.35,2.5,0.024822,0.005656,0.00057
0.35,3.0,0.018519,0.009374,0.001037
0.35,4.0,0.009751,0.019468,0.001307
0.35,5.0,0.005307,0.029044,0.000955
0.35,6.0,0.003107,0.036464,0.000882
0.45,1.5,0.036445,0.004969,0.000384
0.45,2.0,0.028022,0.005312,0.000607
0.45,2.5,0.019983,0.00859,0.000663
0.45,3.0,0.013364,0.014014,0.001111
0.45,4.0,0.005452,0.026774,0.001231
0.45,5.0,0.00235,0.037278,0.000708
0.45,6.0,0.001239,0.044508,0.000516
0.55,1.5,0.034141,0.005664,0.000463
0.55,2.0,0.024556,0.007059,0.000719
0.55,2.5,0.015954,0.011828,0.000736
0.55,3.0,0.009458,0.018737,0.00112
0.55,4.0,0.002806,0.033157,0.001122
0.55,5.0,0.000922,0.043634,0.000527
0.55,6.0,0.000613,0.050133,0.000306
0.65,1.5,0.031944,0.006477,0.000543
0.65,2.0,0.021467,0.009009,0.000821
0.65,2.5,0.012663,0.015186,0.000785
0.65,3.0,0.006575,0.023274,0.001083
0.65,4.0,0.001278,0.038476,0.000997
0.65,5.0,0.000359,0.048343,0.000388
0.65,6.0,0.000552,0.053888,0.000178
0.75,1.5,0.029868,0.007394,0.000707
0.75,2.0,0.018755,0.011089,0.001039
0.75,2.5,0.01003,0.018518,0.000978
0.75,3.0,0.004513,0.027455,0.001173
0.75,4.0,0.000479,0.042733,0.000956
0.75,5.0,0.000238,0.05168,0.000321
0.75,6.0,0.000681,0.056248,0.000121
1.0,1.5,0.025266,0.010024,0.001272
1.0,2.0,0.013518,0.01643,0.001563
1.0,2.5,0.005754,0.02607,0.001273
1.0,3.0,0.00182,0.035786,0.001263
1.0,4.0,0.0,0.049404,0.000915
1.0,5.0,0.000448,0.055905,0.000255
1.0,6.0,0.000965,0.058678,9.3e-05
