left_family,right_family,mean_belief_only_js,mean_selection_only_js,mean_combined_js
M_exact,M_0,0.003995,0.05145,0.075417
M_exact,M_rho,0.000756,0.039175,0.047279
M_exact,"M_rho,beta",0.00838,0.032304,0.052988
M_exact,M_star,0.003995,0.0387,0.117484
M_exact,M_cluster,0.003274,0.023441,0.02914
M_0,M_rho,0.001381,0.002461,0.006055
M_0,"M_rho,beta",0.002968,0.008233,0.011428
M_0,M_star,0.0,0.018027,0.032087
M_0,M_cluster,0.001709,0.067249,0.094707
M_rho,"M_rho,beta",0.005805,0.006959,0.012297
M_rho,M_star,0.001381,0.017608,0.047919
M_rho,M_cluster,0.001277,0.061305,0.073975
"M_rho,beta",M_star,0.002968,0.003461,0.029794
"M_rho,beta",M_cluster,0.008568,0.045308,0.071001
M_star,M_cluster,0.001709,0.042961,0.122759
